submission_pk,User,Dice per case,Dice global,VOE,RVD,ASSD,MSD,RMSD,Precision at 50% overlap,Recall at 50% overlap,Precision at >0% overlap,Recall at >0% overlap
Exception parsing scores!
submission_pk,User,Dice per case,Dice global,VOE,RVD,ASSD,MSSD,MSSD
471574,WorldCup,0.9330 (34),0.9560 (16),0.114 (53),1.500 (98),3.042 (150),27.884 (75),4.309 (121),
424062,mahendrakhened,0.9320 (35),0.9340 (35),0.125 (61),-0.090 (4),2.502 (125),36.009 (116),4.803 (127),
824688,Jiaming,0.9310 (36),0.9180 (44),0.127 (63),0.036 (77),3.133 (151),38.195 (120),6.422 (141),
443813,ED2018,0.9310 (36),0.9320 (37),0.126 (62),0.031 (73),3.415 (159),42.986 (137),7.067 (147),
952178,Ritz,0.9280 (37),0.9340 (35),0.120 (57),0.332 (96),3.266 (155),97.237 (174),9.358 (167),
734066,jjx,0.9280 (37),0.9520 (20),0.121 (58),0.060 (82),3.400 (157),32.873 (111),5.556 (134),
467719,JCD,0.9280 (37),0.9310 (38),0.132 (66),-0.019 (29),5.333 (176),143.599 (193),15.458 (188),
863808,u17ec115,0.9270 (38),0.9300 (39),0.131 (65),0.014 (58),8.436 (195),170.015 (199),21.417 (199),
618693,vic85821,0.9240 (39),0.9230 (41),0.137 (67),0.053 (81),2.277 (122),28.302 (79),3.660 (100),
439140,EdwardMa,0.9240 (39),0.9210 (43),0.141 (68),-0.025 (25),2.598 (130),78.048 (165),5.265 (131),
757247,YongtaoZhang1994,0.9220 (40),0.9070 (47),0.142 (69),-0.067 (8),6.654 (188),104.882 (178),19.048 (197),
971522,Jonty,0.9200 (41),0.9500 (22),0.128 (64),-0.023 (26),5.344 (177),41.286 (131),8.550 (157),
933947,R3D,0.9180 (42),0.9240 (40),0.146 (70),0.035 (76),9.444 (198),206.483 (210),26.647 (206),
547269,umathran,0.9180 (42),0.9090 (46),0.148 (71),0.047 (80),3.489 (162),48.699 (148),7.297 (150),
784328,HongruLi,0.9110 (43),0.9050 (49),0.157 (73),-0.056 (11),9.498 (199),202.481 (208),25.489 (205),
469780,giriWardhana,0.9110 (43),0.9220 (42),0.161 (75),-0.046 (15),3.433 (160),50.064 (151),7.414 (152),
483869,ChiSaw,0.9050 (44),0.9210 (43),0.172 (77),-0.037 (18),13.769 (203),228.712 (211),33.212 (208),
592570,zhuoshen,0.9030 (45),0.8990 (50),0.155 (72),0.115 (91),4.426 (172),46.833 (143),8.393 (156),
